municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 06:50:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 07:20:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 13:50:00.0,0.80,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 14:00:00.0,0.60,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 14:10:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 14:20:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 14:30:00.0,0.80,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 14:40:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 15:50:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 16:00:00.0,0.80,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 16:10:00.0,0.60,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 16:40:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 16:50:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 17:00:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 17:10:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-22 17:30:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-23 09:40:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-23 09:50:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-26 03:30:00.0,1.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-26 03:40:00.0,1.00,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-27 08:50:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-27 09:00:00.0,0.60,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-27 09:10:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-27 09:30:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-27 09:40:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-30 23:50:00.0,10.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-31 00:00:00.0,4.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 00:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 01:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 02:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 03:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 04:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 05:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 06:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 07:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 08:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 08:40:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 08:50:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 09:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 10:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 11:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 12:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 13:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 14:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 15:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 16:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 17:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 18:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 19:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 20:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 21:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 22:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-01 23:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 00:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 01:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 02:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 03:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 04:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 05:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 06:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 07:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 08:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 09:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 10:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 11:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 12:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 13:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 14:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 15:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 16:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 17:10:00.0,1.40,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 18:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 19:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 20:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 21:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 22:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-02 23:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 00:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 01:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 02:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 03:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 04:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 05:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 06:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 07:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 08:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 09:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 10:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 11:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 12:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 13:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 14:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 15:10:00.0,0.00,
